X',Y'
15.59208316,44.44141485
16.19277777,50.30010764
18.36453458,45.33247079
18.83013051,48.95238553
20.79677162,55.3301184
21.11840824,47.00784689
21.24270287,52.07108131
22.089743,49.72504654
23.90607674,47.05889167
26.56695413,46.10100654
29.23388071,45.2433652
31.89879089,44.35230926
34.55294694,43.28304214
37.21046366,42.26946601
39.87147547,41.31380852
38.32670006,25.95386053
37.9653007,22.01279438
37.92314038,19.26630009
39.06252535,29.95618678
39.77007945,33.08045166
38.8516005,16.22167333
40.79593961,36.83773753
40.16784759,13.45971816
41.94770988,40.61419322
43.2456393,43.98474869
42.10852517,10.80628088
44.42795914,47.1947777
46.18453957,49.68193758
44.5690686,8.576413393
47.81233298,62.32193732
48.31438411,58.35461684
48.35808474,52.42332686
48.90533279,66.09964322
50.52487771,69.24141098
47.17819177,6.760886921
50.35479765,55.3061094
50.52872532,54.09266447
52.26256989,71.22053344
53.41469782,73.70270176
49.80411825,5.22381543
53.84134739,78.26998223
53.20875849,53.45221802
55.96956619,91.25231779
53.92390769,65.30326198
54.81323529,82.08852819
55.74507528,85.24342312
57.0532678,88.0364297
56.06801104,72.16439269
52.45894644,4.165686505
55.87770147,52.62799127
58.74035309,91.87486825
58.97849403,87.2202864
58.75442947,71.62975913
55.15544686,3.798125931
59.57013453,83.09931977
58.58630027,52.46091829
60.39740987,90.66494158
60.3702125,79.97505489
61.58718818,70.68472577
61.16659375,76.78952991
60.73046763,65.46662223
61.14626173,62.117737
57.87412766,3.798125931
61.66591634,58.44213126
61.38227633,53.7418112
62.00733575,74.33912609
63.28323567,70.90856073
63.62060629,68.08038631
63.97778081,62.28109726
60.61969376,4.2436539
64.46024807,58.33055037
64.1484113,54.18688833
64.81588229,65.58914242
66.48002687,62.10752699
63.41298129,5.479994012
67.12680258,58.83196824
66.71881802,52.07108131
69.25469472,61.32878123
66.23113773,7.128447495
69.8309365,59.41004077
68.8884024,49.1152817
70.35090797,46.72920097
69.08155654,9.311534541
72.65864683,60.39768081
71.43732408,44.25429311
72.87145913,41.10552419
71.7255986,12.17033901
75.36578614,60.20642202
74.44471194,39.38449056
73.74066847,14.84536318
75.35226667,35.40833529
78.06833576,59.93910524
77.26064348,42.45881539
75.55505872,18.29051428
76.4179811,32.59037089
77.23654272,29.77240649
76.85482895,21.80859406
77.5555177,26.04779268
77.12880945,23.89143731
80.77666571,59.76757697
80.06737366,43.91791949
82.76262583,59.91237356
82.89359569,45.70003137
85.70368654,47.21482646
88.48890847,48.31750818
91.26673695,49.29766971
94.06576346,50.31406099
95.55568779,53.0206128
95.83373469,57.40070964
96.91595703,50.15832492
98.65821238,53.01040278
99.33876275,47.90539481
101.1535931,47.2621638
